TIME,MAX,MIN,OTHER
20140801 013036010,1.100194734,1.099831726,0
20140801 013037510,1.100206839,1.099843822,0
20140801 013038010,1.100218944,1.099855919,0
20140801 013039260,1.100206839,1.099843822,0
20140801 013123757,1.100194734,1.099831726,0
20140801 013124007,1.10018263,1.09981963,0
20140801 013125507,1.100170526,1.099807534,0
20140801 013125757,1.10018263,1.09981963,0
20140801 013126757,1.100170526,1.099807534,0
20140801 013128257,1.10018263,1.09981963,0
20140801 013141007,1.100194734,1.099831726,0
20140801 013142257,1.100206839,1.099843822,0
20140801 013158007,1.100218944,1.099855919,0
20140801 013236523,1.100206839,1.099843822,0
20140801 013237273,1.100170526,1.099807534,0
20140801 013238257,1.100194734,1.099831726,0
20140801 013239257,1.10018263,1.09981963,0
20140801 013302507,1.100194734,1.099831726,0
20140801 013302757,1.100206839,1.099843822,0
20140801 013303007,1.100218944,1.099855919,0
20140801 013303257,1.100231049,1.099868016,0
20140801 013303507,1.100218944,1.099855919,0
20140801 013303757,1.100231049,1.099868016,0
20140801 013304257,1.100218944,1.099855919,0
20140801 013305507,1.100231049,1.099868016,0
20140801 013307257,1.100206839,1.099843822,0
20140801 013310757,1.100194734,1.099831726,0
20140801 013323757,1.10018263,1.09981963,0
20140801 013324007,1.100194734,1.099831726,0
20140801 013324257,1.10018263,1.09981963,0
20140801 013324507,1.100170526,1.099807534,0
20140801 013326007,1.10018263,1.09981963,0
